a1 啊 
ai1 哎 
ai2 捱 
ai3 霭 
ai4 爱 
an1 安 
an2 雸 
an3 俺 
an4 岸 
ang1 肮 
ang2 昂 
ang4 盎 
ao1 爊 
ao2 敖 
ao3 袄 
ao4 傲 
ba1 八 
ba2 拔 
ba3 靶 
ba4 爸 
bai1 掰 
bai2 白 
bai3 百 
bai4 败 
ban1 班 
ban3 板 
ban4 办 
bang1 帮 
bang3 绑 
bang4 傍 
bao1 包 
bao2 窇 
bao3 宝 
bao4 报 
bei1 卑 
bei3 鉳 
bei4 贝 
ben1 犇 
ben3 本 
ben4 笨 
beng1 崩 
beng2 甭 
beng3 埲 
beng4 迸 
bi1 逼 
bi2 鼻 
bi3 比 
bi4 必 
bian1 边 
bian3 贬 
bian4 卞 
biao1 标 
biao2 嫑 
biao3 表 
biao4 俵 
bie1 憋 
bie2 莂 
bie4 彆 
bin1 宾 
bin4 摈 
bing1 冰 
bing3 丙 
bing4 病 
bo1 饽 
bo2 舶 
bo3 跛 
bo4 檗 
bu1 逋 
bu2 醭 
bu3 补 
bu4 不 
ca1 擦 
ca3 礤 
ca4 遪 
cai1 猜 
cai2 才 
cai3 踩 
cai4 菜 
can1 餐 
can2 残 
can3 惨 
can4 灿 
cang1 仓 
cang2 鑶 
cang4 賶 
cao1 操 
cao2 曹 
cao3 草 
cao4 襙 
ce4 册 
cen1 嵾 
cen2 岑 
ceng2 层 
ceng4 蹭 
cha1 插 
cha2 察 
cha3 蹅 
cha4 岔 
chai1 钗 
chai2 豺 
chai4 虿 
chan1 搀 
chan2 婵 
chan3 产 
chan4 忏 
chang1 昌 
chang2 尝 
chang3 敞 
chang4 怅 
chao1 超 
chao2 巢 
chao3 炒 
chao4 仦 
che1 伡 
che3 扯 
che4 澈 
chen1 抻 
chen2 尘 
chen3 趻 
chen4 衬 
cheng1 柽 
cheng2 丞 
cheng3 逞 
chi1 吃 
chi2 弛 
chi3 齿 
chi4 叱 
chong1 充 
chong2 崇 
chong3 宠 
chong4 铳 
chou1 抽 
chou2 愁 
chou3 丑 
chou4 遚 
chu1 初 
chu2 除 
chu3 杵 
chu4 怵 
chuai1 搋 
chuai2 膗 
chuai4 踹 
chuan1 川 
chuan2 船 
chuan3 喘 
chuan4 汌 
chuang1 疮 
chuang2 床 
chuang3 闯 
chuang4 怆 
chui1 吹 
chui2 垂 
chun1 春 
chun2 纯 
chun3 偆 
chuo1 戳 
chuo4 辍 
ci1 呲 
ci2 词 
cong1 匆 
cong2 从 
cong4 愡 
cou4 凑 
cu1 粗 
cu2 徂 
cu4 猝 
cuan1 撺 
cuan2 櫕 
cuan4 窜 
cui1 崔 
cui3 漼 
cui4 脆 
cun1 村 
cun2 存 
cun3 刌 
cun4 寸 
cuo1 搓 
cuo2 虘 
cuo3 脞 
cuo4 剉 
da1 咑 
da2 达 
da4 亣 
dai1 呆 
dai3 歹 
dai4 代 
dan1 丹 
dan3 刐 
dan4 旦 
dang1 珰 
dang3 党 
dang4 氹 
dao1 刀 
dao2 捯 
dao3 导 
dao4 辺 
de2 淂 
den4 扽 
deng1 灯 
deng3 等 
deng4 邓 
di1 仾 
di2 狄 
di3 邸 
di4 弟 
dia3 嗲 
dian1 掂 
dian3 典 
dian4 电 
diao1 刁 
diao3 扚 
diao4 吊 
die1 爹 
die2 迭 
die4 哋 
ding1 仃 
ding3 顶 
ding4 订 
diu1 丢 
dong1 东 
dong3 董 
dong4 动 
dou1 吺 
dou2 唞 
dou3 阧 
dou4 豆 
du1 厾 
du2 独 
du3 笃 
du4 杜 
duan1 偳 
duan3 短 
duan4 段 
dui1 堆 
dui3 頧 
dui4 队 
dun1 吨 
dun3 盹 
dun4 伅 
duo1 多 
duo2 夺 
duo3 朵 
duo4 刴 
e1 妸 
e2 讹 
e3 枙 
e4 岋 
ei1 誒 
en1 恩 
en3 峎 
en4 摁 
eng1 鞥 
er1 乻 
er2 儿 
er3 尔 
er4 二 
fa1 冹 
fa2 乏 
fa3 法 
fa4 珐 
fan1 帆 
fan2 凡 
fan3 反 
fan4 犯 
fang1 方 
fang2 防 
fang3 访 
fang4 放 
fei1 飞 
fei2 肥 
fei3 匪 
fei4 吠 
fen1 芬 
fen2 妢 
fen3 粉 
fen4 份 
feng1 丰 
feng2 夆 
feng3 讽 
feng4 凤 
fo2 坲 
fou2 紑 
fou3 缶 
fu1 伕 
fu2 巿 
fu3 甫 
fu4 付 
ga1 旮 
